Function,Basis,System,BasFunc,Input,Reference,RelVal
b3lyp,631G,B,9,-6.8261,-7.1960,0.03
b3lyp,631G,Be,9,-4.0645,-4.3361,0.01
b3lyp,631G,C,9,-10.3145,-10.7658,0.08
b3lyp,631G,F,9,-24.7446,-25.4317,0.53
b3lyp,631G,Li,9,-2.0180,-2.1679,0.00
b3lyp,631G,N,9,-14.4463,-14.9587,0.17
b3lyp,631G,Ne,9,-30.9501,-31.7230,0.84
b3lyp,631G,O,9,-19.2916,-19.8893,0.31
b3lyp,aug-cc-pvdz,B,23,-6.8561,-7.1960,0.03
b3lyp,aug-cc-pvdz,Be,23,-4.0887,-4.3361,0.01
b3lyp,aug-cc-pvdz,C,23,-10.3457,-10.7658,0.08
b3lyp,aug-cc-pvdz,F,23,-24.7901,-25.4317,0.53
b3lyp,aug-cc-pvdz,Li,23,-2.0259,-2.1679,0.00
b3lyp,aug-cc-pvdz,N,23,-14.4652,-14.9587,0.17
b3lyp,aug-cc-pvdz,Ne,23,-31.0100,-31.7230,0.84
b3lyp,aug-cc-pvdz,O,23,-19.3155,-19.8893,0.31
b3lyp,aug-cc-pvtz,B,46,-6.8514,-7.1960,0.03
b3lyp,aug-cc-pvtz,Be,46,-4.0861,-4.3361,0.01
b3lyp,aug-cc-pvtz,C,46,-10.3343,-10.7658,0.08
b3lyp,aug-cc-pvtz,F,46,-24.7649,-25.4317,0.53
b3lyp,aug-cc-pvtz,Li,46,-2.0224,-2.1679,0.00
b3lyp,aug-cc-pvtz,N,46,-14.4481,-14.9587,0.17
b3lyp,aug-cc-pvtz,Ne,46,-30.9781,-31.7230,0.84
b3lyp,aug-cc-pvtz,O,46,-19.2943,-19.8893,0.31
b3lyp,def2-sv_p,B,14,-6.8478,-7.1960,0.03
b3lyp,def2-sv_p,Be,9,-4.0856,-4.3361,0.01
b3lyp,def2-sv_p,C,14,-10.3212,-10.7658,0.08
b3lyp,def2-sv_p,F,14,-24.7400,-25.4317,0.53
b3lyp,def2-sv_p,Li,9,-2.0229,-2.1679,0.00
b3lyp,def2-sv_p,N,14,-14.4296,-14.9587,0.17
b3lyp,def2-sv_p,Ne,14,-30.9454,-31.7230,0.84
b3lyp,def2-sv_p,O,14,-19.2721,-19.8893,0.31
b3lyp,def2-svpd,B,20,-6.8498,-7.1960,0.03
b3lyp,def2-svpd,Be,12,-4.0856,-4.3361,0.01
b3lyp,def2-svpd,C,20,-10.3234,-10.7658,0.08
b3lyp,def2-svpd,F,23,-24.7779,-25.4317,0.53
b3lyp,def2-svpd,Li,12,-2.0229,-2.1679,0.00
b3lyp,def2-svpd,N,20,-14.4324,-14.9587,0.17
b3lyp,def2-svpd,Ne,23,-30.9949,-31.7230,0.84
b3lyp,def2-svpd,O,23,-19.3059,-19.8893,0.31
b3lyp,def2-tzvp,B,31,-6.8470,-7.1960,0.03
b3lyp,def2-tzvp,Be,19,-4.0833,-4.3361,0.01
b3lyp,def2-tzvp,C,31,-10.3271,-10.7658,0.08
b3lyp,def2-tzvp,F,31,-24.7545,-25.4317,0.53
b3lyp,def2-tzvp,Li,14,-2.0247,-2.1679,0.00
b3lyp,def2-tzvp,N,31,-14.4394,-14.9587,0.17
b3lyp,def2-tzvp,Ne,31,-30.9660,-31.7230,0.84
b3lyp,def2-tzvp,O,31,-19.2850,-19.8893,0.31
b3lyp,def2-tzvpd,B,37,-6.8473,-7.1960,0.03
b3lyp,def2-tzvpd,Be,22,-4.0833,-4.3361,0.01
b3lyp,def2-tzvpd,C,37,-10.3274,-10.7658,0.08
b3lyp,def2-tzvpd,F,40,-24.7611,-25.4317,0.53
b3lyp,def2-tzvpd,Li,17,-2.0247,-2.1679,0.00
b3lyp,def2-tzvpd,N,37,-14.4398,-14.9587,0.17
b3lyp,def2-tzvpd,Ne,40,-30.9743,-31.7230,0.84
b3lyp,def2-tzvpd,O,40,-19.2912,-19.8893,0.31
bhhlyp,631G,B,9,-7.1530,-7.1960,0.03
bhhlyp,631G,Be,9,-4.3178,-4.3361,0.01
bhhlyp,631G,C,9,-10.7167,-10.7658,0.08
bhhlyp,631G,F,9,-25.3655,-25.4317,0.53
bhhlyp,631G,Li,9,-2.1954,-2.1679,0.00
bhhlyp,631G,N,9,-14.9197,-14.9587,0.17
bhhlyp,631G,Ne,9,-31.6487,-31.7230,0.84
bhhlyp,631G,O,9,-19.8404,-19.8893,0.31
bhhlyp,aug-cc-pvdz,B,23,-7.1814,-7.1960,0.03
bhhlyp,aug-cc-pvdz,Be,23,-4.3426,-4.3361,0.01
bhhlyp,aug-cc-pvdz,C,23,-10.7444,-10.7658,0.08
bhhlyp,aug-cc-pvdz,F,23,-25.4030,-25.4317,0.53
bhhlyp,aug-cc-pvdz,Li,23,-2.2040,-2.1679,0.00
bhhlyp,aug-cc-pvdz,N,23,-14.9342,-14.9587,0.17
bhhlyp,aug-cc-pvdz,Ne,23,-31.6988,-31.7230,0.84
bhhlyp,aug-cc-pvdz,O,23,-19.8588,-19.8893,0.31
bhhlyp,aug-cc-pvtz,B,46,-7.1760,-7.1960,0.03
bhhlyp,aug-cc-pvtz,Be,46,-4.3389,-4.3361,0.01
bhhlyp,aug-cc-pvtz,C,46,-10.7334,-10.7658,0.08
bhhlyp,aug-cc-pvtz,F,46,-25.3823,-25.4317,0.53
bhhlyp,aug-cc-pvtz,Li,46,-2.1990,-2.1679,0.00
bhhlyp,aug-cc-pvtz,N,46,-14.9188,-14.9587,0.17
bhhlyp,aug-cc-pvtz,Ne,46,-31.6725,-31.7230,0.84
bhhlyp,aug-cc-pvtz,O,46,-19.8403,-19.8893,0.31
bhhlyp,def2-sv_p,B,14,-7.1747,-7.1960,0.03
bhhlyp,def2-sv_p,Be,9,-4.3407,-4.3361,0.01
bhhlyp,def2-sv_p,C,14,-10.7239,-10.7658,0.08
bhhlyp,def2-sv_p,F,14,-25.3602,-25.4317,0.53
bhhlyp,def2-sv_p,Li,9,-2.2011,-2.1679,0.00
bhhlyp,def2-sv_p,N,14,-14.9036,-14.9587,0.17
bhhlyp,def2-sv_p,Ne,14,-31.6432,-31.7230,0.84
bhhlyp,def2-sv_p,O,14,-19.8219,-19.8893,0.31
bhhlyp,def2-svpd,B,20,-7.1764,-7.1960,0.03
bhhlyp,def2-svpd,Be,12,-4.3407,-4.3361,0.01
